item_number,name,section,catalog_page_id,pdf_page,hole_style,diameter_in,thickness_in,material,finish,max_load_lbs,length_in,cross_section,max_discs,spine_capacity,width_in,height_in,jaw_opening_in,hook_type,fastener_size,fastener_type,compatible_with,quantity_note,spacing_in,needs_verification,notes
900000,"82 V-Notched Flat Disc 9"" dia DS1, 0.063"" aluminum",Discs,B3,8,DS1,9,0.063,6061-T6 Aluminum,,,,,,,,,,,,,,,,,"30-finger V-notched flat disc, 9"" flat diameter"
900035,"82 V-Notched Flat Disc 9"" dia DS1, 0.08"" aluminum",Discs,B3,8,DS1,9,0.08,6061-T6 Aluminum,,,,,,,,,,,,,,,,,"30-finger V-notched flat disc, 9"" flat diameter"
900005,"82 V-Notched Flat Disc 9"" dia DS2, 0.063"" aluminum",Discs,B3,8,DS2,9,0.063,6061-T6 Aluminum,,,,,,,,,,,,,,,,,"30-finger V-notched flat disc, 9"" flat diameter"
900040,"82 V-Notched Flat Disc 9"" dia DS2, 0.08"" aluminum",Discs,B3,8,DS2,9,0.08,6061-T6 Aluminum,,,,,,,,,,,,,,,,,"30-finger V-notched flat disc, 9"" flat diameter"
900010,"82 V-Notched Flat Disc 9"" dia DS3, 0.063"" aluminum",Discs,B3,8,DS3,9,0.063,6061-T6 Aluminum,,,,,,,,,,,,,,,,,"30-finger V-notched flat disc, 9"" flat diameter"
900045,"82 V-Notched Flat Disc 9"" dia DS3, 0.08"" aluminum",Discs,B3,8,DS3,9,0.08,6061-T6 Aluminum,,,,,,,,,,,,,,,,,"30-finger V-notched flat disc, 9"" flat diameter"
900015,"82 V-Notched Flat Disc 9"" dia DS4, 0.063"" aluminum",Discs,B3,8,DS4,9,0.063,6061-T6 Aluminum,,,,,,,,,,,,,,,,,"30-finger V-notched flat disc, 9"" flat diameter"
900050,"82 V-Notched Flat Disc 9"" dia DS4, 0.08"" aluminum",Discs,B3,8,DS4,9,0.08,6061-T6 Aluminum,,,,,,,,,,,,,,,,,"30-finger V-notched flat disc, 9"" flat diameter"
900020,"82 V-Notched Flat Disc 9"" dia DS5, 0.063"" aluminum",Discs,B3,8,DS5,9,0.063,6061-T6 Aluminum,,,,,,,,,,,,,,,,,"30-finger V-notched flat disc, 9"" flat diameter"
900055,"82 V-Notched Flat Disc 9"" dia DS5, 0.08"" aluminum",Discs,B3,8,DS5,9,0.08,6061-T6 Aluminum,,,,,,,,,,,,,,,,,"30-finger V-notched flat disc, 9"" flat diameter"
900025,"82 V-Notched Flat Disc 9"" dia DS6, 0.063"" aluminum",Discs,B3,8,DS6,9,0.063,6061-T6 Aluminum,,,,,,,,,,,,,,,,,"30-finger V-notched flat disc, 9"" flat diameter"
900060,"82 V-Notched Flat Disc 9"" dia DS6, 0.08"" aluminum",Discs,B3,8,DS6,9,0.08,6061-T6 Aluminum,,,,,,,,,,,,,,,,,"30-finger V-notched flat disc, 9"" flat diameter"
